year,goal,holdings,oi,coi
2011,14200,14200,0,0
2012,14200,14200,0,0
2013,0,0,0,0
2014,0,0,0,0
2015,0,0,0,0
2016,14200,14200,0,0
2017,14200,14200,0,0
2018,14200,14200,0,0
2019,14200,14200,0,0
2020,14200,14200,0,0
2021,14200,14200,0,0
2022,14200,14200,0,0
2023,14200,14200,0,0
2024,14200,14200,0,0
2025,14200,14200,0,0
2026,14200,14200,0,0
2027,14200,14200,0,0
2028,14200,14200,0,0
2029,14200,14200,0,0
2030,14200,14200,0,0
2031,14200,14200,0,0
2032,14200,14200,0,0
2033,14200,14200,0,0
2034,14200,14200,0,0
2035,14200,14200,0,0
2036,14200,14200,0,0
2037,14200,14200,0,0
2038,14200,14200,0,0
2039,351442,351442,0,0
