year,goal,holdings,oi,coi
2016,16000,16000,0,0
2017,44000,40707,3293,2904
2018,48000,38000,10000,8422
2019,48000,42509,5491,4402
2020,44000,44000,0,0
2021,44000,44000,0,0
2022,44000,44000,0,0
2023,43000,43000,0,0
2024,43000,48000,-5000,-3165
2025,43000,48000,-5000,-3027
2026,43000,48000,-5000,-2897
2027,32000,38000,-6000,-3323
2028,32000,38000,-6000,-3178
2029,38000,36255,1745,882
2030,38000,38000,0,0
2031,27500,27500,0,0
2032,27500,27500,0,0
2033,27500,27500,0,0
2034,27500,27500,0,0
2035,27500,27500,0,0
2036,27500,27500,0,0
2037,27500,27500,0,0
2038,27500,53998,-26498,9258
2039,27500,27500,0,0
2040,27500,27500,0,0
2041,27500,27500,0,0
