year,goal,holdings,oi,coi
2026,9000,0,9000,5974
2027,9000,0,9000,5702
2028,7000,0,7000,4248
2029,7000,7000,0,0
2030,6000,6000,0,0
2031,6000,6000,0,0
2032,6000,6000,0,0
2033,6000,6000,0,0
2034,6000,6000,0,0
2035,6000,6000,0,0
2036,6000,6000,0,0
2037,6000,6000,0,0
2038,6000,6000,0,0
2039,6000,35000,6000,2334
2040,6000,6000,0,0
2041,6000,0,6000,2167
2042,6000,0,6000,2056
2043,6000,0,6000,1994
2044,6000,0,6000,1933
2045,6000,0,6000,1811
Lumpsum 2039,0,0,0,11078
PV of future contributions,0,0,0,13379
