year,goal,holdings,oi,coi
2035,5200,0,5200,2291
2036,5200,0,5200,2160
2037,5200,0,5200,2058
2038,5200,0,5200,2023
2039,5200,21655,5200,1862
2040,5200,0,5200,1878
2041,5200,0,5200,1782
2042,5200,0,5200,1728
2043,5200,0,5200,1675
2044,5200,0,5200,1570
2045,5200,110959,5200,1552
2046,5200,0,5200,1463
2047,5200,0,5200,1472
2048,5200,0,5200,1384
2049,5200,0,5200,1360
2050,5200,0,5200,1334
2051,5200,0,5200,1237
2052,5200,0,5200,1213
2053,5200,0,5200,1168
2054,5200,0,5200,1104
2055,5200,0,5200,1064
2056,5200,0,5200,1044
2057,5200,0,5200,1005
2058,5200,0,5200,968
2059,5200,0,5200,932
2060,5200,0,5200,898
2061,5200,0,5200,865
2062,5200,0,5200,833
2063,5200,0,5200,802
380-66276-12 account,0,0,0,29970
380-66270-18 account,0,0,0,6854
