year,goal,holdings,oi,coi
2024,18000,5975,12025,8765
2025,18000,18000,0,0
2026,18000,18000,0,0
2027,18000,18000,0,0
2028,18000,18000,0,0
2029,18000,18000,0,0
2030,18000,18000,0,0
2031,18000,18000,0,0
2032,18000,18000,0,0
2033,18000,18000,0,0
2034,18000,18000,0,0
2035,18000,18000,0,0
2036,8000,8000,0,0
2037,8000,8000,0,0
2038,8000,8000,0,0
2039,8000,126597,8000,3112
2040,8000,8000,0,0
2041,8000,0,8000,2889
2042,8000,0,8000,2741
2043,8000,0,8000,2658
2044,8000,0,8000,2578
2045,8000,0,8000,2415
2046,8000,0,8000,2388
2047,8000,0,8000,2251
2048,8000,0,8000,2264
2049,8000,0,8000,2130
2050,8000,0,8000,2093
2051,8000,0,8000,2053
2052,8000,0,8000,1902
2053,8000,0,8000,1867
2054,8000,0,8000,1798
2055,8000,0,8000,1699
2056,8000,0,8000,1637
2057,8000,0,8000,1606
2058,8000,0,8000,1547
2059,8000,0,8000,1489
2060,8000,0,8000,1434
2061,8000,0,8000,1381
2062,8000,0,8000,1330
2063,8000,0,8000,1281
Lumpsum 2039,0,0,0,40068
PV of Future Contribution,0,0,0,13379
