year,goal,holdings,oi,coi
2009,26000,0,26000,0
2010,7000,5771,1229,0
2011,0,28503,-28503,0
2012,0,14000,-14000,0
2013,0,14000,-14000,0
2014,0,8000,-8000,0
2015,0,3996,-3996,0
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,0,0,0,0
2025,0,0,0,0
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2034,0,68994,0,0
Manulife Bank Savings Account,0,0,0,2883
Lumpsum 2034,0,0,0,18684
Transcanada Corp 4% preferred shares,0,0,0,19936
Hudbay Minerals,0,0,0,10465
Husky Energy,0,0,0,10034
Rare Elements,0,0,0,67200
OLeary Canadian Income Opportunities Fund,0,0,0,19280
Keyera Facilities Income Fund,0,0,0,20522
