year,goal,holdings,oi,coi
2017,7000,7000,0,0
2018,9000,9000,0,0
2019,9000,10636,0,0
2020,9000,9000,0,0
2021,9000,9000,0,0
2022,9000,9000,0,0
2023,9000,9000,0,0
2024,9000,19578,0,0
2025,9000,9000,0,0
2026,9000,26362,0,0
2027,9000,9000,0,0
2028,9000,9000,0,0
2029,9000,9000,0,0
2030,9000,9000,0,0
2031,9000,9000,0,0
2032,9000,9000,0,0
2033,9000,9000,0,0
2034,9000,9000,0,0
2035,9000,9000,0,0
2036,9000,9000,0,0
2037,9000,9000,0,0
2038,9000,9000,0,0
2039,9000,9000,0,0
2040,9000,9000,0,0
2041,9000,9000,0,0
Lumpsum 2019,0,0,0,8177
Lumpsum 2024,0,0,0,11807
Lumpsum 2026,0,0,0,9520
