year,goal,holdings,oi,coi
2014,0,0,0,0
2015,0,0,0,0
2016,46308,14285,0,0
2017,40000,28000,0,0
2018,27000,14000,0,0
2019,26000,14000,0,0
2020,28000,14000,0,0
2021,27000,25994,0,0
2022,26000,27505,0,0
2023,26000,27700,0,0
2024,23000,27700,0,0
2025,22000,27700,0,0
2026,22000,27700,0,0
2027,19000,27700,0,0
2028,19000,27700,0,0
2029,13000,112269,0,0
2030,13000,13000,0,0
2031,10000,10000,0,0
2032,10000,10000,0,0
2033,10000,10000,0,0
2034,10000,10000,0,0
2035,10000,10000,0,0
2036,10000,10000,0,0
2037,10000,10000,0,0
2038,10000,10000,0,0
2039,10000,10000,0,0
2040,10000,26003,0,0
2041,10000,10000,0,0
Lumpsum 2029,0,0,0,45747
Cash,0,0,0,0
RRSP contribution 2010,0,0,0,0
