year,goal,holdings,oi,coi
2023,21000,0,21000,16038
2024,14000,0,14000,10205
2025,9000,6118,2882,2015
2026,0,0,0,0
2027,0,0,0,0
2028,5000,5000,0,0
2029,8000,8000,0,0
2030,11000,11000,0,0
2031,11000,11000,0,0
2032,11000,11000,0,0
2033,11000,11000,0,0
2034,11000,11000,0,0
2035,11000,11000,0,0
2036,10000,10000,0,0
2037,10000,10000,0,0
2038,10000,10000,0,0
2039,10000,90000,10000,3890
2040,10000,10000,0,0
2041,10000,10000,0,0
2042,10000,10000,0,0
2043,10000,10000,0,0
2044,10000,10000,0,0
2045,10000,10000,0,0
2046,7000,14000,0,0
2047,7000,0,0,0
2048,7000,7000,0,0
2049,7000,7000,0,0
2050,7000,14000,0,0
2051,7000,0,0,0
2052,7000,7000,0,0
Lumpsum 2039,0,0,0,28485
PV future contributions,0,0,0,31589
