year,price,yield
2012,99.29,0.92
2013,98,1.15
2014,96.42,1.34
2015,94.18,1.61
2016,91.26,1.94
2017,88.18,2.2
2018,84.22,2.58
2019,80.16,2.89
2020,76.26,3.15
2021,72.45,3.35
2022,69.54,3.44
2023,66.17,3.57
2024,63.29,3.65
2025,60.54,3.71
2026,57.93,3.77
2027,55.38,3.82
2028,52.97,3.86
2029,50.55,3.91
2030,47.98,3.97
2031,48.14,3.77
2032,43.74,4.05
2033,43.69,3.87
2034,40.99,4.02
2035,39.75,3.96
2036,38.09,4.05
2037,35.98,4.05
2038,34.94,4.01
2039,33.78,3.99
2040,32.88,3.94
2041,31.88,3.92
2042,29.85,3.94
2043,29.51,3.92
2044,27.81,3.92
2045,27.96,3.85
2046,26.29,3.86
2047,25.3,3.86
2048,25.33,3.81
2049,23.37,3.88
2050,22.92,3.88
2051,22.08,3.88
2052,20.86,3.88
2053,20.08,3.88
2054,19.7,3.88
2055,18.96,3.88
2056,18.25,3.88
2057,17.57,3.88
2058,16.92,3.88
2059,16.28,3.88
2060,15.68,3.88
2061,15.09,3.88
2062,14.53,3.88
2063,13.99,3.88
2064,13.47,3.88
2065,13.24,3.81
