                                                                                            ,,,,,,,,
Information Provided by RBC Dominion Securities as of:,,,,,06-Sep-11,,,
Today's Date:,06/09/11,,,,,,,
,,,,,,,,
Maturity,ID No.,Issuer,Inventory,Cost,Yield,CC,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20-Jun-12,7141811,BC   BC COUPONS       AAH,"79,286",99.29,0.916,0.1,,
18-Jun-13,7147128,BC   BC COUPONS       AAH,"114,220",98,1.146,0.25,,
04-Jun-14,7146960,BC   BC COUPONS       AAH,"49,589",96.42,1.342,0.4,,
09-Jun-15,7128695,BC   BC COUPONS       AAH,"12,318",94.18,1.612,0.5,,
18-Jun-16,7147134,BC   BC COUPONS       AAH,"235,898",91.26,1.935,0.75,,
18-Jun-17,7147136,BC   BC COUPONS       AAH,"4,333",88.18,2.203,1,,
09-Jun-18,7128701,BC   BC COUPONS       AAH,"5,000",84.22,2.577,1,,
17-Jun-19,7143174,BC   BC COUPONS       AAH,"29,770",80.16,2.887,1,,
04-Jun-20,7146972,BC   BC COUPONS       AAH,"436,972",76.26,3.151,1,,
18-Jun-21,7147142,BC   BC COUPONS       AAH,"8,968",72.45,3.352,1,,
04-Jun-22,7146976,BC   BC COUPONS       AAH,"3,285",69.54,3.442,1,,
18-Jun-23,7147145,BC   BC COUPONS       AAH,"8,709",66.17,3.57,1,,
18-Jun-24,7147147,BC   BC COUPONS       AAH,"98,240",63.29,3.646,1,,
18-Jun-25,7147148,BC   BC COUPONS       AAH,"44,774",60.54,3.711,1,,
04-Jun-26,7146984,BC   BC COUPONS       AAH,"2,345",57.93,3.774,1,,
18-Jun-27,7147151,BC   BC COUPONS       AAH,"4,954",55.38,3.818,1,,
18-Jun-28,7147153,BC   BC COUPONS       AAH,"17,107",52.97,3.861,1,,
18-Jun-29,7147155,BC   BC COUPONS       AAH,"22,541",50.55,3.913,1,,
13-Jul-30,7144495,ONT  ONTARIO COUPONS  AAL,"72,098",47.98,3.974,1,,
18-Jun-31,7147830,BC   BC COUPONS       AAH,"3,050,289",48.14,3.766,1,,
13-Jul-32,7145089,ONT  ONTARIO COUPONS  AAL,"7,262",43.74,4.047,1,,
10-Jul-33,7142967,ONT  ONTARIO COUPONS  AAL,"62,081",43.69,3.865,0.75,,
03-May-34,7143635,ONT  ONTARIO COUPONS  AAL,"2,593",40.99,4.016,0.75,,
02-Jun-35,7150483,ONT  ONTARIO COUPONS  AAL,"439,500",39.75,3.964,0.5,,
13-Jan-36,7147047,ONT  ONTARIO COUPONS  AAL,"6,793",38.09,4.045,0.5,,
02-Jun-37,7147557,ONT  ONTARIO COUPONS  AAL,"230,670",35.98,4.053,0.25,,
02-Jun-38,7147552,ONT  ONTARIO COUPONS  AAL,"11,945",34.94,4.012,0.25,,
02-Jun-39,7147554,ONT  ONTARIO COUPONS  AAL,"84,865",33.78,3.991,0.25,,
18-Jun-40,7152513,BC   BC COUPONS       AAH,"2,578",32.88,3.941,0.25,,
02-Jun-41,7148299,ONT  ONTARIO COUPONS  AAL,"163,736",31.88,3.92,0.25,,
18-Dec-42,7152518,BC   BC COUPONS       AAH,"3,600",29.85,3.942,0.15,,
